Field,Type,Null,Key,Default,Extra
Deal,bigint(20) unsigned,NO,PRI,0,
Timestamp,bigint(20),NO,MUL,0,
ExternalID,varchar(32),NO,,,
Login,bigint(20) unsigned,NO,MUL,0,
Dealer,bigint(20) unsigned,NO,,0,
Order,bigint(20) unsigned,NO,,0,
Action,int(10) unsigned,NO,,0,
Entry,int(10) unsigned,NO,,0,
Reason,int(10) unsigned,NO,,0,
Digits,int(10) unsigned,NO,,0,
DigitsCurrency,int(10) unsigned,NO,,0,
ContractSize,double,NO,,0,
Time,datetime,NO,MUL,0000-00-00 00:00:00,
TimeMsc,datetime(6),NO,,0000-00-00 00:00:00.000000,
Symbol,varchar(32),NO,,,
Price,double,NO,,0,
VolumeExt,bigint(20) unsigned,NO,,0,
Profit,double,NO,,0,
Storage,double,NO,,0,
Commission,double,NO,,0,
Fee,double,NO,,0,
RateProfit,double,NO,,0,
RateMargin,double,NO,,0,
ExpertID,bigint(20) unsigned,NO,,0,
PositionID,bigint(20) unsigned,NO,MUL,0,
Comment,varchar(32),NO,,,
ProfitRaw,double,NO,,0,
PricePosition,double,NO,,0,
PriceSL,double,NO,,0,
PriceTP,double,NO,,0,
VolumeClosedExt,bigint(20) unsigned,NO,,0,
TickValue,double,NO,,0,
TickSize,double,NO,,0,
Flags,bigint(20) unsigned,NO,,0,
Value,double,NO,,0,
Gateway,varchar(16),NO,,,
PriceGateway,double,NO,,0,
ModifyFlags,int(10) unsigned,NO,,0,
MarketBid,double,NO,,0,
MarketAsk,double,NO,,0,
MarketLast,double,NO,,0,
Volume,bigint(20) unsigned,NO,,0,
VolumeClosed,bigint(20) unsigned,NO,,0,
ApiData,varchar(4000),NO,,,
